Fecha,Hora_Log,TKR,Precio,Hora_BVC
7 Abr,14:41:10,IBC:,5953.11,10:41:02
7 Abr,14:41:10,I.FINANCIE:,11380.8,10:41:02
7 Abr,14:41:10,I.INDUSTR:,2430.23,10:41:02
7 Abr,14:41:10,ABC.A:,1600.0,10:40:09
7 Abr,14:41:10,BNC:,1530.0,10:40:38
7 Abr,14:41:10,BPV:,144.0,10:41:02
7 Abr,14:41:10,BVCC:,582.0,10:37:04
7 Abr,14:41:10,ENV:,845.0,10:39:48
7 Abr,14:41:10,FNC:,1270.0,10:37:34
7 Abr,14:41:10,MVZ.A:,6899.0,10:38:26
7 Abr,14:41:10,PCP.B:,430.0,10:38:15
7 Abr,14:41:10,PGR:,110.0,10:38:35
7 Abr,14:41:10,RST:,566.0,10:40:55
7 Abr,14:41:10,RST.B:,449.0,10:37:05
7 Abr,14:41:10,TPG:,21.85,10:38:44
7 Abr,14:46:21,IBC:,5898.99,10:46:16
7 Abr,14:46:21,I.FINANCIACIÓN:,11259.25,10:46:16
7 Abr,14:46:21,I.INDUSTR:,2423.41,10:46:16
7 Abr,14:46:21,ABC.A:,1600.0,10:46:16
7 Abr,14:46:21,BPV:,145.0,10:45:30
7 Abr,14:46:21,BVCC:,600.0,10:41:45
7 Abr,14:46:21,BVL:,1700.0,10:43:58
7 Abr,14:46:21,MVZ.A:,6500.0,10:41:26
7 abr,14:46:21,RST:,560.0,10:45:42
7 Abr,14:46:21,RST.B:,445.0,10:42:49
7 Abr,14:51:33,IBC:,5928.46,10:51:22
7 Abr,14:51:33,I.FINANCIACIÓN:,11259.25,10:51:22
7 Abr,14:51:33,I.INDUSTR:,2483.09,10:51:22
7 Abr,14:51:33,BPV:,145.0,10:51:22
7 Abr,14:51:33,BVCC:,600.0,10:47:39
7 abr,14:51:33,EFE:,150.0,10:51:29
7 Abr,14:51:33,GZL:,795.0,10:49:46
7 abr,14:51:33,RST.B:,445.0,10:50:28
7 Abr,14:51:33,SVS:,1249.0,10:47:39
7 Abr,14:56:42,IBC:,5974.92,10:56:14
